RI	Common Name	Plant source	Reference
797	hexanal	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
798	hexanal	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
799	hexanal	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
835	isovaleric acid	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
853	(E)-2-hexenal	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
854	(E)-2-hexenal	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
855	(E)-2-hexenal	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
857	(Z)-3-hexenol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
861	(Z)-3-hexenol	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
868	n-hexanol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
869	n-hexanol	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
869	n-hexanol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
872	n-hexanol	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
899	n-heptanal	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
900	nonane	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
908	santolina triene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
909	2,4-( E, E)-hexadienal	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
926	tricyclene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
926	tricyclene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
927	tricyclene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
927	tricyclene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
928	artemisia triene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
928	tricyclene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
928	tricyclene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
930	tricyclene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
930	α-thujene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
931	a-thujene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
932	α-thujene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
932	α-thujene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
932	α-thujene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
938	α-pinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
938	α-pinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
939	α-pinene	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
939	α-pinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
940	α-pinene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
940	α-pinene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
940	α-pinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
942	α-pinene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
953	camphene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
954	camphene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
954	camphene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
954	carnphene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
955	camphene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
955	camphene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
957	camphene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
958	thuja-2,4(10)-diene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
960	thuja-2,4(10)diene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
970	n-heptanol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
976	sabinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
976	sabinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
977	sabinene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
978	sabinene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
979	β-pinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
980	b-pinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
980	β-pinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
